940 928
416 389 894
587 193 -778
291 810 413
92 204 -189
309 647 -810
697 423 233
859 69 339
795 354 574
228 780 -790
685 39 -810
789 508 -579
62 67 115
496 435 -16
627 91 239
536 322 -731
686 612 652
20 305 963
542 786 977
196 872 359
144 638 -650
402 723 -538
97 820 -826
714 79 -905
647 689 653
764 26 -763
254 667 440
718 458 931
111 785 -24
97 661 368
530 927 539
304 633 -325
625 218 -791
290 369 2
497 384 659
838 573 172
794 325 557
49 22 -655
241 265 -436
658 294 167
714 601 -16
78 469 -614
847 691 -988
526 692 337
337 260 353
400 172 -938
940 634 -413
5 506 875
551 580 -864
900 105 466
815 928 -791
368 378 998
479 825 -281
747 195 -477
144 609 752
814 61 872
665 846 609
415 168 -651
247 826 -575
209 239 -323
918 820 -1000
939 13 -17
455 651 -602
825 875 -595
371 73 -474
216 496 -201
275 467 823
601 653 -467
810 15 -493
872 44 -916
227 230 -952
51 234 895
651 781 479
730 641 5
775 359 -591
359 878 973
596 515 -533
940 515 635
640 621 -819
383 600 524
209 850 -305
500 710 164
487 249 528
883 293 233
900 554 722
327 694 727
405 585 -391
597 160 173
810 896 87
923 630 366
916 937 -53
510 840 -240
87 140 -372
592 906 -558
292 246 187
692 762 -286
631 696 257
484 26 674
424 566 -407
347 249 211
35 593 -267
530 871 -647
508 329 860
635 394 -819
529 33 91
840 860 -846
109 660 -70
443 799 706
272 838 -920
892 52 403
566 862 -766
73 227 164
34 265 683
389 447 -900
310 940 -73
405 476 -723
250 551 -498
383 838 -552
204 905 322
319 673 -320
526 494 -394
857 780 364
549 812 -515
484 761 185
259 221 328
374 432 -440
749 649 -467
717 533 320
318 856 126
272 552 810
21 882 583
452 219 911
413 700 714
553 610 251
381 504 940
690 18 108
834 431 -194
690 780 -35
384 596 568
371 874 -240
811 330 717
842 765 924
880 808 -419
800 382 -427
346 173 -259
760 364 -987
306 355 281
61 828 -641
394 89 644
19 576 -589
340 624 -562
731 18 -82
31 128 -897
740 823 -869
648 389 -461
821 57 -216
488 374 818
360 768 -254
788 4 -92
760 694 892
23 774 -252
885 138 -983
454 639 -968
315 406 -19
894 23 622
585 502 965
198 603 111
108 128 -263
96 27 -446
614 552 -938
173 655 -276
456 670 695
184 816 -418
663 656 20
349 503 -877
777 171 76
280 34 40
434 616 -939
490 66 164
300 661 -769
445 879 -788
125 219 -437
275 652 -669
750 337 543
75 779 179
807 645 14
914 585 -559
816 441 446
373 375 -978
771 645 290
523 4 -566
350 585 -201
842 57 476
100 205 861
129 44 -843
364 528 97
539 587 994
602 22 -334
704 501 -344
349 118 513
720 132 449
55 840 53
292 160 -869
494 701 449
236 659 -253
312 123 94
546 563 679
257 541 -279
220 275 -514
547 836 811
295 665 -499
593 643 -757
65 150 -337
709 730 -531
41 547 71
118 210 241
457 456 78
775 46 665
792 640 -363
117 440 249
104 491 -270
405 560 -535
530 275 890
453 883 -466
824 243 54
538 704 42
348 827 895
811 257 -265
433 798 -441
460 507 -174
119 624 270
716 492 -851
97 85 -796
450 606 904
337 383 -675
588 424 -766
266 523 468
362 398 -728
277 881 -662
300 445 1000
420 932 527
112 805 -423
930 612 520
54 523 -744
92 673 24
566 271 47
132 637 202
738 133 576
908 631 494
815 625 607
234 562 -30
317 602 -342
530 316 101
325 313 726
714 87 -772
616 386 443
222 854 314
372 639 -61
53 559 -551
582 30 -425
170 96 -871
428 877 -141
489 693 756
922 934 87
691 703 630
746 566 -597
620 866 -816
836 650 852
357 322 -940
142 667 -327
456 177 920
881 499 -792
276 915 624
384 697 -416
905 291 91
785 59 221
417 761 389
688 25 167
48 486 152
414 816 -421
649 424 -885
174 267 -295
203 781 712
166 918 -310
88 145 -216
498 338 228
897 546 -370
488 747 302
789 31 74
215 624 -418
15 120 -405
478 788 870
678 285 988
370 599 99
546 634 293
488 261 848
575 685 -526
361 747 676
592 697 385
521 928 -163
577 439 -995
158 895 337
504 377 -255
122 802 819
568 240 -280
559 76 918
487 184 817
498 928 273
637 916 747
1 523 -343
432 352 730
522 285 -690
228 78 -4
548 1 168
159 265 -975
802 600 -467
30 188 -562
137 100 -281
318 128 -420
32 111 -382
392 568 368
159 612 190
74 247 -168
147 551 611
713 358 -288
399 676 -592
314 32 116
361 187 760
573 38 -219
865 198 933
498 709 -70
382 837 472
263 843 -679
344 486 217
161 905 722
9 32 -936
853 175 -730
593 629 -606
189 266 644
868 492 682
36 766 491
249 522 -556
905 567 445
220 210 936
850 804 -747
244 862 -701
436 600 9
1 327 914
899 167 63
663 937 405
826 116 -73
378 180 -500
858 658 -953
154 170 998
270 139 -424
457 435 -872
931 535 123
349 854 493
939 40 595
17 609 -57
697 284 -138
359 605 -119
417 765 -787
35 95 -279
721 324 -827
843 41 550
736 480 -358
881 826 942
189 59 -65
380 420 891
757 149 905
19 431 -638
211 599 -504
474 163 -785
557 400 332
515 10 -214
859 190 513
114 864 -911
70 86 -792
693 203 154
186 856 2
762 783 766
48 118 233
890 636 -510
295 569 -438
139 782 -450
84 657 328
95 483 -154
466 320 855
389 601 309
736 467 41
200 613 -942
485 326 -613
84 584 -639
497 875 424
672 735 986
337 133 -354
587 452 743
36 710 707
1 123 271
742 339 -954
663 110 814
668 312 -331
150 177 867
228 243 247
571 659 911
511 214 175
922 521 -502
416 821 345
114 261 -997
150 327 -470
739 192 900
384 541 -577
496 597 -242
507 586 -133
335 307 -686
886 424 447
916 815 -794
352 603 -237
298 555 557
496 186 215
83 147 -439
163 537 -484
41 846 -242
542 665 -54
783 718 829
303 300 -858
249 500 -886
207 659 -602
237 100 -144
619 819 -958
28 298 181
313 740 -15
319 728 825
441 505 515
285 275 -685
737 586 -565
502 2 -975
140 559 698
484 815 -866
808 255 843
519 904 102
120 840 -786
638 255 368
621 81 -57
635 80 153
614 560 -419
841 690 -917
106 637 648
103 410 231
396 342 191
908 409 320
294 839 -949
108 486 -772
738 354 -735
116 231 -63
55 645 663
67 37 -332
714 890 -66
1 464 790
56 471 -11
97 214 -58
911 253 -814
673 674 704
394 94 -898
529 292 -108
508 835 157
305 259 -900
30 206 444
585 183 -170
827 254 716
823 800 509
843 743 -587
594 352 -661
523 465 -939
22 242 384
724 668 75
291 385 -251
774 463 379
291 50 -801
414 321 518
321 398 -497
491 455 324
48 913 -384
812 279 213
880 13 866
133 293 668
675 57 975
702 546 340
380 465 -306
741 766 -845
98 886 288
48 883 -259
905 419 988
370 219 700
531 624 164
791 859 375
671 875 -294
712 240 269
352 838 -160
283 746 -400
541 737 708
329 506 840
53 241 378
356 521 -551
591 108 -780
743 657 -296
416 677 958
914 422 707
256 278 196
190 191 -558
121 95 974
30 839 216
356 104 -904
893 318 -799
822 581 -260
34 429 -798
112 553 199
579 179 143
529 535 392
383 492 939
389 437 -597
511 546 590
934 341 -610
652 66 -23
478 675 -970
226 555 486
296 160 -930
846 304 -566
872 508 495
636 675 163
192 184 -753
819 68 -13
376 472 -629
465 683 262
809 737 91
520 252 452
190 885 736
765 17 -810
127 213 -826
740 910 -23
351 230 743
877 181 982
330 492 -950
671 854 -965
60 316 -691
865 832 -10
699 758 -147
607 810 -602
780 213 315
714 563 -311
786 908 374
229 111 841
23 425 982
292 580 -29
91 854 125
582 738 774
431 275 -697
451 909 -910
609 188 -362
939 440 335
905 451 796
574 36 -343
780 818 894
14 643 586
419 854 -418
672 668 -370
700 253 -791
601 821 768
7 371 -511
754 580 424
770 23 499
232 730 666
779 875 -261
123 718 -727
472 390 -285
364 925 -771
72 387 -634
111 62 951
527 55 499
16 390 109
803 258 -75
523 524 -502
232 656 371
902 695 -369
219 810 -236
139 83 348
911 460 641
596 464 211
172 833 -597
828 96 526
262 858 981
559 63 -321
387 414 161
