847 2895
700 739 800
427 714 129
442 76 207
172 346 10
264 726 483
113 777 972
337 133 310
565 349 286
124 843 115
13 548 663
436 479 424
457 644 261
66 86 861
34 587 572
735 163 851
99 714 298
127 315 544
827 784 70
577 505 128
60 701 216
169 790 681
465 647 277
24 754 573
219 704 411
733 576 243
719 277 9
345 279 615
559 447 108
275 803 34
839 708 866
804 375 932
26 501 521
75 370 541
91 560 961
319 54 922
57 832 854
284 730 549
276 596 853
614 143 293
42 149 637
446 665 647
287 497 401
521 187 935
193 496 425
409 659 165
67 745 431
525 393 414
346 265 564
725 812 45
523 433 946
11 297 21
332 836 127
277 213 220
285 799 491
476 267 189
799 289 536
309 578 851
780 595 96
609 262 592
814 781 733
736 555 608
503 277 366
200 24 655
107 806 759
590 253 62
605 723 84
224 160 201
240 753 393
210 368 336
259 759 539
588 185 853
237 118 857
86 673 833
702 378 827
411 363 371
236 479 192
820 244 880
525 269 59
783 469 681
794 78 965
602 648 372
291 547 33
123 92 531
213 97 923
331 721 491
444 73 455
626 355 362
311 662 311
372 691 530
150 2 412
692 306 732
9 524 592
137 639 567
631 162 1000
492 757 170
718 389 639
839 825 280
65 628 317
371 424 985
415 396 368
783 331 626
597 124 478
392 328 258
830 90 87
214 87 456
797 436 143
612 276 19
531 225 654
399 331 805
391 14 109
114 187 882
846 473 823
632 173 23
654 12 515
341 11 685
82 668 257
431 25 655
786 177 165
634 388 859
746 676 462
143 123 217
681 527 576
97 683 669
517 144 889
732 461 764
726 83 779
642 422 116
59 160 444
226 539 508
420 359 877
136 750 912
140 704 960
151 284 286
371 504 830
426 43 851
779 703 276
482 452 627
7 605 942
55 222 425
663 3 575
304 153 622
554 587 153
387 357 761
170 716 408
734 193 714
521 403 48
450 821 828
761 497 232
216 616 862
29 789 858
802 734 341
615 299 131
706 512 319
783 568 444
189 465 362
543 776 441
631 210 194
712 150 790
195 364 979
53 350 595
211 561 821
837 608 390
830 183 474
375 804 164
10 792 334
384 454 882
320 310 339
710 232 493
430 368 91
593 589 117
102 314 692
20 108 517
513 408 118
74 596 34
112 659 341
601 637 825
605 311 706
698 726 960
415 316 454
465 827 438
60 612 237
273 424 242
787 128 912
320 429 570
217 377 652
223 163 598
41 88 853
463 759 583
79 547 129
617 54 598
704 24 845
53 162 900
199 46 897
734 631 887
764 242 256
541 238 971
213 639 283
458 70 462
297 39 923
104 463 634
747 557 294
546 108 915
210 371 155
415 444 224
561 481 691
85 843 512
162 424 212
367 718 514
667 633 656
378 614 905
489 680 769
276 426 799
461 807 414
411 562 557
693 410 909
516 684 681
426 408 246
817 752 960
517 646 273
114 307 99
449 834 726
629 804 317
91 52 933
441 345 910
407 441 125
841 589 88
68 627 937
847 569 706
32 631 973
47 359 474
204 810 131
189 833 416
762 721 822
164 808 94
813 497 804
826 185 20
16 798 36
838 405 950
34 611 99
509 72 69
99 842 686
514 511 50
193 14 798
767 277 724
325 726 414
309 817 129
603 619 909
845 15 990
77 717 811
603 695 181
663 677 99
272 773 281
556 92 447
806 107 391
675 429 245
498 115 944
584 216 671
843 17 698
754 741 686
113 676 839
359 663 951
813 765 549
793 305 128
26 732 198
345 24 322
400 629 887
346 52 216
630 18 951
632 686 200
587 25 117
24 847 589
436 113 333
723 504 488
625 292 904
235 367 792
744 205 249
194 370 712
778 262 742
294 536 929
394 458 4
359 495 255
101 334 900
431 715 446
810 795 429
388 564 807
43 318 105
192 844 997
302 521 807
294 325 889
298 664 805
274 830 667
309 590 339
837 522 28
350 792 734
650 640 571
23 590 766
201 683 253
220 355 769
764 367 671
637 779 292
453 715 165
112 790 321
417 545 255
838 28 872
766 17 486
234 211 813
700 314 226
80 247 29
689 379 647
665 669 543
843 1 71
762 86 488
794 627 458
328 813 425
186 565 72
4 283 261
535 54 805
545 188 379
510 409 270
271 273 890
470 136 577
515 245 884
556 506 598
294 519 765
422 824 188
211 832 784
383 222 60
676 514 759
574 783 185
731 162 128
537 602 398
428 780 631
167 8 9
377 93 831
724 520 859
772 592 804
127 505 303
739 344 388
429 564 457
234 843 980
162 281 722
719 570 818
455 155 267
119 467 280
771 698 491
564 97 770
535 629 873
264 174 488
537 348 82
372 185 168
227 409 524
423 506 2
29 188 636
427 285 351
147 368 638
6 75 49
304 600 240
729 408 183
823 667 562
753 812 872
111 841 602
674 407 334
133 47 51
196 149 256
12 497 738
588 320 385
66 715 892
491 149 516
774 42 859
714 77 65
239 34 353
560 110 555
151 178 331
562 783 10
619 694 305
465 261 661
297 342 255
192 412 381
299 65 754
109 42 904
444 754 195
753 555 887
41 51 541
447 788 249
570 225 248
692 267 607
729 544 198
813 166 726
98 703 785
94 263 695
772 764 794
309 366 885
46 527 348
468 751 863
714 81 284
794 299 184
137 818 288
167 581 576
89 755 636
688 715 207
739 729 997
585 691 262
133 362 283
171 56 286
203 776 362
314 518 292
368 501 407
520 19 370
393 603 385
365 845 855
628 133 64
57 50 392
150 153 341
237 585 975
42 643 636
506 335 190
145 392 351
487 491 327
282 165 66
454 330 33
230 14 86
650 551 634
54 684 970
565 535 415
76 16 416
646 437 446
614 330 263
369 222 457
155 220 911
258 759 241
725 548 812
731 143 633
807 702 451
161 448 76
542 423 544
636 555 831
558 207 331
268 233 577
592 470 23
427 540 693
649 576 794
91 272 533
509 774 723
411 673 725
209 732 634
349 379 651
183 241 808
332 265 685
190 31 60
409 698 89
725 710 625
89 333 64
283 625 435
666 359 562
54 591 22
84 119 861
624 151 815
792 157 577
770 397 831
255 461 258
660 84 195
632 574 894
434 300 878
71 732 738
514 602 723
172 2 875
826 833 830
29 307 733
668 159 688
45 597 176
465 587 63
266 489 985
754 53 870
387 567 38
429 242 804
594 351 228
838 630 700
804 310 207
167 301 299
423 261 662
813 450 164
550 451 94
147 377 874
435 657 164
424 174 643
828 49 976
405 796 570
348 770 68
174 583 29
371 715 843
173 360 540
577 234 85
478 331 378
618 224 979
620 355 381
563 497 900
111 799 20
561 553 200
794 622 944
766 501 700
404 156 934
386 664 669
821 789 88
700 26 757
691 651 894
263 599 533
818 199 11
17 760 963
545 434 429
831 684 585
131 124 90
518 826 511
715 655 610
708 484 872
764 599 853
178 262 149
593 50 818
805 836 313
339 356 210
478 274 210
349 228 680
79 159 921
180 131 264
56 716 183
614 162 14
284 455 76
729 399 726
71 731 849
213 272 925
314 685 296
239 295 38
142 658 387
463 411 158
506 786 475
158 13 76
57 298 575
488 124 770
250 703 537
315 651 377
143 293 674
791 718 224
380 777 861
364 416 572
60 40 274
174 714 536
643 294 141
211 576 430
225 124 787
738 447 291
710 318 482
79 174 677
388 226 744
71 239 784
761 61 479
803 596 739
765 468 672
345 506 489
265 219 316
268 92 698
130 56 442
531 505 675
338 157 649
496 760 413
474 667 976
522 393 513
523 567 901
506 399 887
727 717 514
437 518 489
208 612 552
27 334 841
54 678 653
747 67 905
625 751 984
86 3 120
465 736 719
304 811 3
34 659 643
746 421 745
772 25 67
548 178 100
76 349 134
179 68 569
327 737 69
656 462 672
38 565 642
495 238 763
591 808 642
536 746 98
441 657 455
414 7 230
32 446 860
160 3 189
629 21 511
572 262 582
304 293 737
520 284 575
157 116 560
535 682 961
230 783 193
770 815 155
698 494 928
443 712 654
582 789 285
744 459 57
666 627 480
215 494 805
152 738 799
534 23 304
584 48 302
639 389 452
321 836 10
550 468 996
311 652 709
793 368 462
256 203 319
604 538 222
436 596 13
841 202 744
739 612 609
598 762 972
181 818 60
406 448 601
273 140 517
263 649 632
115 519 853
316 489 803
586 786 93
208 522 36
561 500 308
779 179 536
694 506 804
351 118 303
375 283 583
823 377 435
212 251 408
613 669 238
82 227 727
148 822 635
549 621 981
584 565 773
442 786 457
359 758 696
244 807 396
234 505 356
640 815 679
358 320 703
212 443 82
164 414 920
283 602 537
268 162 304
738 806 675
768 753 856
21 650 912
291 776 466
334 533 160
457 644 889
359 84 878
583 60 733
561 593 171
686 740 226
656 232 858
496 237 582
513 93 565
784 579 533
63 372 997
585 775 15
587 638 725
145 781 436
343 220 342
164 399 871
372 769 784
403 819 652
801 836 45
141 123 545
302 543 397
112 551 374
382 197 736
345 691 706
784 587 59
789 596 119
234 742 243
68 799 825
168 392 495
19 492 860
781 843 423
109 716 377
119 396 473
508 353 540
666 474 837
109 237 366
726 12 311
72 622 714
834 707 354
623 743 964
674 292 570
312 38 687
143 729 259
3 637 100
773 598 916
535 242 515
554 317 730
136 581 544
376 545 12
315 724 895
614 165 996
738 679 723
409 436 635
556 433 104
250 280 238
206 810 422
766 785 316
829 216 907
705 1 878
550 214 858
596 102 378
603 781 21
689 764 619
520 466 321
462 573 393
576 255 152
569 14 560
24 113 9
211 750 745
549 430 903
201 434 324
705 210 419
731 581 25
172 233 93
342 450 948
443 116 787
35 368 518
480 94 340
739 775 901
135 214 269
606 653 416
701 534 27
785 722 89
236 335 356
536 446 313
606 788 229
737 194 6
192 42 292
312 500 224
772 393 136
229 27 73
24 435 203
129 714 533
253 686 460
786 539 766
627 451 922
797 611 571
297 4 63
527 229 262
72 287 553
709 640 665
725 598 950
617 515 347
492 207 121
270 768 910
293 731 27
756 466 203
686 649 668
91 122 352
711 76 225
88 27 137
239 162 297
228 67 144
710 278 118
497 726 110
574 283 15
138 678 762
376 408 998
90 690 546
462 82 71
347 51 901
283 335 791
452 443 992
678 615 758
35 384 424
355 243 10
354 605 215
762 556 448
191 25 115
572 73 925
367 446 189
381 262 950
418 248 480
647 465 936
315 840 758
341 439 994
447 434 145
45 496 480
146 475 897
609 490 371
443 741 769
239 292 566
655 163 771
636 719 771
51 169 734
453 496 199
164 722 717
490 817 509
617 275 455
541 406 124
42 480 526
524 121 516
22 679 873
745 671 376
250 619 774
766 139 990
365 567 410
319 471 330
394 82 641
392 591 590
243 748 288
755 377 712
515 362 492
219 828 518
430 164 517
601 718 173
101 535 231
612 500 208
183 780 829
824 3 201
162 425 967
812 843 716
439 52 198
703 633 966
738 456 545
332 541 288
602 43 561
395 1 750
142 567 568
495 129 454
603 468 67
771 40 885
637 668 283
662 417 170
716 808 484
204 388 822
323 771 403
631 115 644
81 843 767
387 7 448
480 219 547
810 228 359
747 657 266
766 777 243
230 32 953
200 373 225
267 91 144
511 659 760
197 99 529
288 130 574
574 567 26
19 817 787
494 806 507
804 525 744
43 562 862
765 362 157
561 727 972
138 24 179
714 78 635
74 374 673
166 631 954
147 714 274
298 500 947
456 794 998
543 606 943
126 138 85
646 621 977
110 74 523
556 340 207
207 216 23
104 226 839
237 493 596
3 824 257
295 667 165
448 168 862
753 737 703
60 161 988
471 492 163
291 451 779
3 709 248
528 579 812
562 801 371
796 276 236
76 87 234
164 161 200
233 705 98
603 447 531
242 814 9
579 189 242
266 380 537
206 833 151
473 290 300
461 787 227
357 175 744
33 427 881
297 306 274
576 631 123
728 20 601
258 171 411
194 138 725
748 375 711
223 663 788
298 371 726
834 137 49
547 823 11
780 680 735
715 228 22
626 86 716
296 85 583
119 467 519
450 475 444
457 480 479
305 384 894
648 66 579
237 470 223
721 177 652
750 766 8
52 171 40
495 656 429
564 761 748
453 192 657
139 34 932
454 580 615
71 761 388
401 201 199
384 282 277
74 819 644
814 190 826
580 24 425
452 621 584
552 257 247
205 306 857
14 444 565
572 457 443
122 551 608
814 393 431
427 356 207
27 525 379
365 279 659
398 842 652
322 435 502
248 389 820
273 652 671
620 365 654
435 57 116
51 558 17
270 451 192
196 432 31
181 37 697
487 396 479
142 22 140
311 201 510
252 271 630
359 420 403
497 456 898
609 392 581
723 334 48
767 321 326
409 652 389
169 194 6
296 238 637
462 692 681
409 160 776
637 519 369
339 647 221
523 562 12
693 292 640
433 560 19
334 457 244
257 93 128
732 212 347
340 789 979
599 585 601
224 481 537
372 463 757
175 160 882
102 132 697
745 729 160
392 643 626
180 608 716
305 89 914
378 808 492
559 5 508
427 20 42
150 702 174
15 439 491
522 166 582
620 414 641
350 159 258
268 127 327
756 574 810
320 252 960
684 404 225
288 197 846
731 754 429
593 514 19
322 635 943
295 222 299
117 739 301
108 547 859
680 628 613
332 257 481
365 576 28
410 14 370
9 602 960
83 513 634
485 128 609
799 87 29
405 197 946
603 397 741
505 385 892
562 155 259
143 453 964
234 603 862
683 97 606
558 300 39
161 831 843
20 365 267
70 281 228
561 52 759
774 380 709
439 110 737
197 604 952
5 283 430
365 263 587
497 142 628
306 414 990
473 181 205
645 689 817
611 741 472
558 814 763
517 435 260
371 99 384
538 335 665
723 196 108
258 105 793
190 367 561
530 56 478
827 671 533
144 469 738
259 352 99
402 4 371
651 113 287
757 686 636
588 623 747
611 569 816
393 211 508
634 610 693
48 116 678
457 403 726
533 441 385
314 405 518
527 299 876
722 55 624
77 623 32
532 363 307
342 98 759
346 394 94
245 205 136
819 498 936
365 259 947
5 839 564
252 540 454
645 555 922
42 429 405
176 257 670
399 483 856
227 113 347
844 769 453
341 63 224
809 318 672
314 699 173
198 163 723
14 621 99
78 493 725
202 561 678
750 419 325
28 225 333
383 741 864
136 303 547
640 3 33
731 170 626
437 478 102
256 582 869
470 581 793
169 823 742
450 17 184
781 548 465
541 539 49
21 623 547
608 763 480
630 441 357
792 725 273
415 839 424
100 146 194
167 106 995
764 756 425
582 782 901
469 581 922
80 729 896
275 46 800
217 213 730
428 205 336
604 391 375
395 673 704
488 594 109
620 63 929
335 34 354
81 420 990
48 121 235
186 243 89
130 508 72
842 841 57
656 425 628
721 409 258
283 350 844
608 689 294
78 201 898
174 745 252
246 194 643
394 559 778
489 300 393
202 327 926
629 87 508
293 698 99
485 594 452
576 847 822
785 571 124
351 601 273
316 575 352
416 546 958
588 51 11
92 227 502
730 636 548
736 658 941
830 122 439
427 521 328
36 754 621
753 228 545
77 376 240
107 556 172
461 678 637
563 541 487
791 545 354
48 706 147
769 208 473
407 419 761
801 303 25
787 272 87
807 600 671
67 307 258
494 588 503
821 661 458
22 569 791
517 151 902
408 447 39
496 547 477
460 484 129
483 739 682
731 466 456
293 49 357
436 558 259
114 696 842
432 630 313
498 58 254
154 390 403
196 781 347
395 686 743
711 657 372
193 833 914
492 475 934
276 264 668
35 321 505
762 564 937
616 354 727
594 640 854
772 140 174
275 446 590
831 189 992
628 680 318
251 87 519
267 566 504
706 479 573
111 494 174
613 636 536
294 224 752
542 768 699
435 677 571
611 50 429
687 625 305
769 308 263
258 596 734
772 499 51
573 780 673
9 163 368
422 394 807
17 546 316
163 188 475
543 799 359
223 197 851
422 15 775
216 256 373
452 170 347
282 230 459
147 535 24
107 737 285
227 472 121
573 92 333
591 74 824
468 490 223
492 825 563
794 16 806
461 6 606
759 741 481
572 42 56
419 508 519
269 362 918
474 108 377
693 66 675
264 316 245
411 569 410
479 556 116
320 299 531
497 640 869
762 753 478
575 769 563
384 378 627
151 59 812
132 31 382
401 798 680
366 524 412
588 392 328
746 103 520
237 34 922
582 623 416
382 646 227
319 604 927
632 712 82
762 423 552
67 220 295
631 401 27
41 123 322
736 768 635
206 829 223
701 213 336
588 473 921
158 431 520
576 756 476
300 644 179
840 753 913
135 127 869
709 631 868
495 756 386
173 401 62
384 794 368
496 668 869
771 214 27
450 580 674
483 64 329
225 344 8
366 406 221
240 399 553
649 430 714
285 375 211
552 778 793
177 746 172
114 200 878
713 519 56
15 501 621
72 738 502
14 560 751
656 259 566
356 48 441
711 31 478
155 401 193
202 683 725
381 759 125
386 612 241
11 541 805
717 210 853
636 353 700
839 313 612
787 184 582
519 494 456
29 749 751
174 294 622
472 447 599
847 85 568
664 19 435
15 735 63
370 443 313
86 663 136
38 377 608
702 546 758
335 779 125
419 524 699
280 469 289
821 409 158
730 770 856
432 735 651
328 306 122
537 311 147
586 628 754
550 580 604
614 321 760
543 65 557
125 495 75
125 51 119
172 651 29
249 288 212
506 39 525
693 520 807
535 245 836
275 64 272
209 138 201
101 836 149
287 179 678
129 499 525
800 143 695
751 143 914
647 222 601
691 581 881
587 748 250
82 303 122
14 659 977
8 51 253
209 791 63
162 801 272
844 460 332
807 95 524
311 49 416
624 267 722
458 427 850
466 140 692
263 709 843
800 177 619
38 220 593
593 331 928
312 518 259
483 571 285
590 120 507
673 223 601
287 68 791
795 241 98
333 764 472
528 434 178
426 104 485
70 808 820
228 745 591
140 36 822
823 621 89
508 644 353
183 471 192
263 249 627
552 348 593
352 309 365
74 164 409
25 87 190
551 639 193
85 624 298
366 515 787
350 541 815
136 229 588
432 616 800
344 459 695
165 78 658
281 678 53
455 641 133
598 124 857
814 193 56
65 375 640
594 265 562
639 414 817
169 490 143
797 135 662
401 684 826
451 151 438
343 778 990
91 47 993
340 737 143
809 562 62
430 66 773
120 262 436
300 425 250
731 680 403
178 685 906
69 233 219
272 400 339
764 393 335
241 512 381
310 339 820
654 272 811
446 265 325
454 525 222
579 432 799
555 16 510
578 681 468
702 94 622
593 129 696
225 358 199
461 165 734
600 208 507
308 22 544
19 307 523
407 82 23
41 613 208
597 128 908
701 93 215
148 27 643
594 786 479
99 318 279
810 595 67
489 99 369
553 691 860
650 685 794
520 647 961
637 806 964
516 455 618
233 779 503
497 372 261
557 132 984
775 234 207
194 30 428
5 405 603
195 436 525
617 494 412
595 263 896
568 763 742
313 2 504
511 6 317
728 832 546
568 670 973
74 731 171
322 270 389
595 616 823
621 11 535
222 789 271
812 780 408
344 146 927
157 75 198
596 341 867
354 419 653
5 557 452
545 37 724
718 264 682
839 66 676
672 376 106
355 583 935
620 633 344
433 546 43
420 699 367
837 44 206
274 619 278
308 214 734
128 811 293
208 54 540
732 111 221
697 380 936
409 667 815
176 815 434
49 519 192
493 264 307
337 511 415
756 16 988
473 157 858
824 681 406
452 517 645
685 257 561
290 732 914
192 360 517
7 811 420
159 31 129
458 245 404
3 706 662
207 706 166
497 175 556
535 52 961
102 243 802
633 370 173
466 335 356
32 33 514
505 215 240
797 557 27
457 274 283
678 373 485
367 364 979
308 119 960
326 290 736
716 565 404
269 719 297
613 788 449
398 667 908
474 4 891
235 374 798
72 449 101
374 632 583
648 366 79
663 239 584
206 78 188
42 259 730
545 783 831
488 314 250
158 711 12
39 70 583
710 794 484
94 303 158
238 333 969
202 528 59
796 216 80
333 674 390
467 137 99
748 725 346
563 111 13
453 257 746
115 456 757
285 365 743
311 711 354
468 224 865
653 722 789
508 661 264
790 273 205
41 554 238
775 353 96
807 440 603
398 382 455
545 83 171
292 597 824
601 69 849
733 711 972
148 247 920
331 244 50
811 804 336
264 567 741
10 146 857
428 708 998
633 555 728
514 645 252
531 277 171
359 511 936
393 780 692
588 466 674
106 596 245
467 603 411
56 104 832
272 271 197
695 780 908
363 702 983
679 73 709
179 130 463
493 713 945
75 265 308
495 494 520
604 602 802
699 114 863
593 807 808
419 130 399
369 498 316
413 368 725
437 630 914
196 468 632
394 398 31
327 373 305
487 142 406
839 17 944
358 123 19
196 833 725
506 503 928
554 842 686
381 177 917
548 569 83
776 673 925
416 519 971
125 104 623
259 758 825
400 453 985
135 677 811
622 203 777
178 526 983
837 641 378
139 515 510
775 765 678
730 7 784
745 704 277
501 423 714
505 804 554
664 492 756
74 79 504
310 820 497
104 148 681
415 346 911
600 640 712
567 497 399
543 837 236
362 835 869
160 55 723
438 202 429
452 503 29
826 801 67
808 340 991
29 806 465
255 134 783
550 827 363
423 405 109
702 27 696
540 34 10
355 328 269
396 712 432
366 806 953
302 16 999
126 11 515
234 118 63
87 626 617
555 808 812
830 228 211
248 635 538
302 830 943
392 460 464
104 453 522
452 845 77
284 442 164
55 533 796
106 389 452
658 55 37
208 472 282
758 660 905
503 312 429
115 409 841
686 764 899
314 48 409
789 555 456
632 670 327
183 225 26
676 2 942
469 367 337
696 348 146
552 643 701
650 333 476
329 46 59
20 171 784
758 656 401
423 533 842
620 540 731
377 812 231
755 53 989
657 731 730
538 714 769
142 781 598
152 483 649
812 524 589
398 121 42
213 845 782
503 747 955
712 781 201
154 44 659
776 449 143
843 392 404
35 449 311
120 715 349
693 616 969
205 281 731
612 191 198
369 724 351
517 741 775
713 189 937
30 502 561
275 822 950
702 697 950
355 162 980
190 198 261
373 697 517
290 375 907
695 674 55
460 661 623
421 50 360
363 552 184
109 258 611
606 292 995
229 714 309
20 122 467
457 725 591
212 466 115
564 163 640
715 627 372
422 528 66
699 218 869
315 216 869
45 537 38
657 476 572
205 508 908
390 226 415
715 294 869
462 225 693
29 504 184
820 748 877
292 348 614
325 783 433
599 519 409
178 547 667
30 260 576
716 683 314
64 137 163
486 508 63
312 751 888
653 476 655
667 316 225
72 269 636
282 360 552
143 510 422
55 543 12
253 683 482
92 772 442
549 195 938
7 672 674
198 705 15
298 537 578
731 717 480
534 201 339
213 642 911
155 588 914
448 88 107
698 443 188
841 61 306
844 775 969
396 644 207
319 351 985
47 442 334
574 684 58
458 76 295
317 453 787
466 244 246
505 16 617
492 198 107
104 786 1000
42 808 151
601 814 458
212 57 868
511 455 951
428 295 302
326 601 832
283 586 242
173 563 748
372 314 876
109 770 101
100 612 119
58 131 683
298 69 303
526 190 48
250 561 625
154 83 432
313 369 170
88 186 175
139 645 63
212 334 448
98 161 57
775 519 490
82 714 889
125 323 778
28 531 561
351 552 60
278 689 74
65 33 432
501 729 909
518 406 844
726 64 435
11 200 542
70 638 213
740 337 937
590 584 640
577 412 472
713 726 919
326 749 622
785 26 363
411 477 569
416 540 301
495 480 1000
802 790 854
820 516 599
751 155 427
245 458 104
579 786 592
734 354 248
278 68 355
310 499 669
694 686 125
124 615 663
453 221 701
237 150 85
683 801 494
433 340 734
439 218 706
514 79 67
276 215 259
637 568 448
118 642 611
159 450 129
117 729 769
280 660 18
553 753 821
621 298 345
399 192 413
353 323 484
600 754 395
215 392 186
122 813 642
185 478 231
747 581 269
194 689 514
34 234 652
80 87 1000
113 752 186
631 599 350
237 79 625
117 128 970
770 92 715
654 194 832
197 509 735
57 295 304
304 814 379
668 816 762
665 632 802
768 552 532
533 476 483
50 815 622
530 514 791
517 712 765
435 439 477
21 17 419
653 67 631
821 176 426
515 555 255
230 564 642
838 652 766
552 130 243
240 632 239
473 278 577
83 671 273
120 249 411
84 31 748
551 817 88
129 835 710
104 199 998
141 494 187
319 733 741
9 617 736
410 469 2
221 352 912
659 795 61
68 112 281
156 294 385
454 310 116
285 587 507
436 345 952
257 742 441
738 187 797
67 99 486
533 62 189
201 469 726
469 151 773
188 423 684
347 696 109
360 710 884
564 32 228
331 766 892
817 413 52
