17
801 868
308 140 -88
379 571 -545
538 103 -516
22 532 852
588 448 -879
523 565 426
547 650 -491
604 389 -363
686 46 18
493 194 -709
710 378 -214
666 11 -192
249 476 -113
378 64 759
470 679 996
5 601 351
70 164 -195
513 473 -858
364 551 998
107 516 -522
727 219 -844
205 25 303
784 317 -460
558 6 -380
72 239 672
45 570 437
668 477 367
125 312 571
294 359 -456
321 611 -228
636 152 833
164 728 523
717 340 325
357 417 473
19 175 772
664 644 354
460 509 879
543 740 237
689 479 698
747 197 220
39 317 -703
130 274 356
158 442 271
185 20 -764
585 379 -178
226 94 -337
582 61 -38
41 393 -438
214 122 914
494 144 -901
643 240 -828
512 506 -67
114 663 -565
773 618 -26
668 644 828
146 708 143
54 468 601
780 394 -896
28 761 488
297 544 756
98 678 607
691 40 -132
52 623 -877
362 215 670
133 733 530
94 590 -566
629 242 -213
7 60 -184
296 744 882
37 613 3
180 424 -798
179 736 -75
781 124 -706
603 106 456
423 736 417
595 762 328
424 646 -648
706 576 -945
156 738 404
631 35 -291
276 609 131
666 71 -2
117 13 176
762 625 -937
285 626 45
299 726 -207
313 659 404
58 188 304
685 148 266
5 602 -709
125 521 -682
652 29 -854
145 198 620
387 15 4
798 519 -374
46 70 0
687 652 466
319 673 -293
219 458 -247
393 392 -979
581 144 -444
412 38 -500
334 336 -51
519 286 -527
720 310 300
404 7 -446
186 267 -733
426 260 759
277 733 315
499 184 351
318 10 314
556 522 -583
669 586 845
507 187 -883
297 570 -304
414 625 289
22 698 36
777 320 776
354 339 -677
14 348 -221
576 43 -863
207 576 -450
618 698 710
359 458 -563
574 106 30
127 57 -484
137 298 -633
477 565 663
304 433 -175
267 307 -573
11 677 -15
354 267 244
28 282 -618
287 400 734
538 315 557
42 386 -133
217 311 812
485 471 658
422 315 -119
236 99 -503
245 534 515
406 735 894
197 643 -846
707 797 836
41 334 -70
329 292 -842
13 443 -444
278 308 616
777 286 608
367 522 255
203 124 510
100 103 -161
546 3 23
449 433 -341
608 548 2
298 449 246
445 396 -540
483 96 -69
537 637 360
187 499 -104
381 686 794
421 599 423
454 641 -622
540 149 700
521 142 -203
460 55 125
381 7 681
216 31 -453
367 490 -814
131 754 -405
