{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Androctonus_uluguruensis}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Anodonta_erythropus}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Caiman_uncia}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Callipogon_dorsalis}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Ceratophrys_coturnix}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Leptopelis_bicinctores}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Anodonta_erythropus}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Caiman_uncia}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Callipogon_dorsalis}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Ceratophrys_coturnix}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Leptopelis_bicinctores}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Androctonus_uluguruensis, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Anodonta_erythropus, Caiman_uncia}
{Litoria_limosa, Mareca_brandtii} {Anodonta_erythropus, Callipogon_dorsalis}
{Litoria_limosa, Mareca_brandtii} {Anodonta_erythropus, Ceratophrys_coturnix}
{Litoria_limosa, Mareca_brandtii} {Anodonta_erythropus, Leptopelis_bicinctores}
{Litoria_limosa, Mareca_brandtii} {Anodonta_erythropus, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Anodonta_erythropus, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Caiman_uncia, Callipogon_dorsalis}
{Litoria_limosa, Mareca_brandtii} {Caiman_uncia, Ceratophrys_coturnix}
{Litoria_limosa, Mareca_brandtii} {Caiman_uncia, Leptopelis_bicinctores}
{Litoria_limosa, Mareca_brandtii} {Caiman_uncia, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Caiman_uncia, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Callipogon_dorsalis, Ceratophrys_coturnix}
{Litoria_limosa, Mareca_brandtii} {Callipogon_dorsalis, Leptopelis_bicinctores}
{Litoria_limosa, Mareca_brandtii} {Callipogon_dorsalis, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Callipogon_dorsalis, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Ceratophrys_coturnix, Leptopelis_bicinctores}
{Litoria_limosa, Mareca_brandtii} {Ceratophrys_coturnix, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Ceratophrys_coturnix, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Leptopelis_bicinctores, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Leptopelis_bicinctores, Procellaria_docilis}
{Litoria_limosa, Mareca_brandtii} {Mylopharyngodon_madagascariensis, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Androctonus_uluguruensis}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Anodonta_erythropus}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Caiman_uncia}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Callipogon_dorsalis}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Ceratophrys_coturnix}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Leptopelis_bicinctores}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Acanthis_arcticus, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Anodonta_erythropus}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Caiman_uncia}
