16
953 1750
562 266 321
950 815 676
347 373 364
565 261 655
813 293 213
575 544 73
531 629 462
787 561 519
144 475 618
677 581 85
575 86 711
307 447 531
29 276 294
691 716 45
244 3 109
484 785 465
75 333 229
747 402 89
16 199 917
190 343 797
829 554 849
771 882 83
85 688 877
115 365 5
456 634 194
46 101 125
871 354 985
283 631 817
374 502 19
96 84 384
270 440 189
314 461 184
733 206 192
453 539 801
177 950 280
662 331 967
597 157 215
502 475 879
938 127 908
349 797 419
444 499 725
321 604 998
68 299 232
433 706 821
869 395 809
230 467 852
335 905 728
407 10 425
481 606 892
539 162 220
29 345 681
614 333 857
95 206 711
934 446 289
542 205 395
548 384 162
942 25 640
348 545 755
169 891 138
755 793 5
49 953 896
370 430 60
9 480 487
538 150 181
800 145 681
502 120 686
609 556 363
397 506 260
463 885 230
742 172 77
240 138 645
104 517 982
683 411 621
383 817 651
112 759 216
743 340 136
460 186 271
833 636 407
501 115 622
659 519 615
486 922 120
26 927 742
409 907 137
94 309 94
741 621 571
258 725 509
464 99 431
876 478 802
823 124 603
610 790 439
208 436 844
776 36 377
732 461 998
819 683 468
757 749 138
900 597 177
703 940 917
512 938 271
592 780 722
123 423 235
478 440 316
261 297 465
346 40 181
436 878 495
137 169 164
793 35 884
924 820 483
20 493 547
770 111 606
848 644 920
552 616 269
793 311 386
584 556 77
323 413 582
542 552 266
87 675 236
221 904 160
678 153 319
776 578 680
318 953 518
378 760 126
569 646 928
431 719 53
468 884 96
348 659 575
532 24 970
658 756 65
867 347 162
653 404 696
85 628 795
73 849 942
429 293 511
464 644 165
751 51 30
119 692 984
767 590 757
748 384 61
687 598 80
498 555 211
527 762 210
909 551 340
140 121 415
385 177 907
728 520 564
316 91 921
774 383 633
715 446 795
585 580 94
372 435 458
415 794 189
333 277 427
6 346 326
644 171 622
210 515 248
677 378 58
471 663 372
412 268 982
516 341 348
234 601 12
48 51 671
234 215 997
165 839 422
226 145 962
210 709 496
396 175 742
713 716 622
417 235 106
83 305 280
222 472 140
600 467 590
748 286 25
146 770 121
15 238 218
563 800 949
16 87 657
829 289 863
582 472 246
560 782 617
783 278 559
122 387 520
176 433 235
859 4 541
783 874 294
381 546 535
512 359 558
838 235 689
878 173 822
941 476 548
432 704 430
876 144 219
663 502 396
157 11 999
171 29 10
71 291 252
11 929 906
788 180 653
128 52 759
470 630 725
68 173 57
615 306 467
300 455 214
521 649 104
66 608 630
336 535 755
114 923 80
23 139 28
104 289 823
6 450 127
909 418 981
315 42 635
681 729 345
748 931 555
927 426 306
829 99 744
413 712 558
5 588 563
77 303 416
722 221 965
679 112 200
105 379 852
926 840 248
140 588 844
528 243 219
703 527 817
541 20 517
219 284 409
924 864 399
507 86 140
822 652 133
931 935 769
201 140 988
266 173 195
386 829 524
949 696 218
315 193 285
741 289 408
647 358 606
431 161 568
751 454 683
437 204 868
435 649 514
616 769 276
443 944 35
874 925 132
932 855 278
840 69 799
790 278 651
708 894 677
417 742 278
230 44 828
207 455 562
414 339 87
94 493 619
627 53 332
736 144 318
516 125 216
504 179 230
709 718 904
16 564 373
921 701 958
160 486 60
109 521 765
648 221 372
672 245 50
208 638 854
154 878 13
125 24 247
503 777 603
362 201 369
74 6 297
563 22 285
787 773 58
193 289 727
930 275 909
850 909 186
936 222 891
659 195 773
539 30 996
712 151 708
216 219 788
381 124 801
493 371 289
441 89 79
823 108 184
206 518 343
506 21 720
689 307 503
599 446 429
471 354 825
906 682 853
331 259 133
519 938 101
431 874 694
600 912 192
275 406 866
171 689 69
565 851 707
660 732 283
340 567 168
584 377 928
85 766 263
401 337 319
254 195 500
144 167 798
354 318 810
402 544 338
17 504 479
461 526 489
912 744 122
390 344 443
160 77 914
442 191 815
62 347 1000
736 86 490
749 217 395
272 315 391
587 469 87
681 665 803
493 53 412
205 37 657
832 890 24
301 22 34
671 805 599
275 102 384
838 162 501
672 312 383
725 305 139
613 264 438
379 691 514
480 182 422
652 214 724
648 464 350
644 354 770
379 52 480
652 760 130
336 343 94
951 541 410
640 88 652
923 447 388
742 9 169
23 726 622
280 182 579
133 439 50
591 402 447
572 113 11
597 123 847
344 754 456
547 830 390
815 856 152
305 461 398
475 785 27
52 501 671
394 511 713
710 208 384
627 738 274
662 218 131
227 759 148
940 114 64
500 613 347
331 490 720
582 809 984
943 309 352
704 400 714
503 775 313
938 498 324
76 33 937
71 224 728
717 951 882
779 743 189
370 35 427
935 447 690
169 720 515
630 237 990
444 326 240
453 663 970
679 261 127
185 339 243
332 667 411
698 378 234
898 279 887
79 712 628
23 75 711
238 827 616
2 360 685
303 748 663
129 408 95
298 730 208
808 761 474
712 652 972
3 584 877
873 806 166
199 627 132
313 670 892
201 883 908
647 326 828
159 796 202
773 106 98
418 133 272
562 515 77
471 722 808
446 930 759
626 922 353
142 930 629
51 99 977
925 509 472
511 555 494
529 289 391
405 91 215
286 499 474
583 90 459
502 111 461
673 299 538
175 249 8
345 501 533
102 858 803
714 755 592
742 162 629
225 101 952
854 754 205
356 706 893
908 487 755
317 700 87
718 571 267
112 9 161
686 282 481
641 453 54
566 253 887
276 481 738
470 581 741
767 738 305
362 315 824
172 100 340
549 396 513
137 770 510
667 158 682
91 331 768
236 478 249
55 733 480
86 435 606
110 413 3
740 196 159
355 575 73
534 658 343
832 356 366
325 361 334
712 558 13
268 115 784
744 88 824
611 341 142
279 894 993
198 325 692
613 105 619
760 749 842
788 314 768
895 454 285
58 855 292
33 810 661
804 360 897
506 461 770
219 275 50
592 6 121
685 714 749
419 33 127
492 952 438
344 496 327
120 180 990
548 827 263
607 941 279
343 591 46
495 347 671
486 895 647
353 3 559
522 671 759
432 829 850
924 378 639
590 673 949
716 836 153
242 55 525
86 934 641
380 632 658
457 792 421
826 871 262
315 614 37
946 380 689
411 105 193
174 281 975
199 602 490
953 647 594
448 14 257
387 778 270
631 398 50
536 531 22
232 658 594
187 741 729
448 761 999
135 684 396
793 626 511
56 489 136
794 68 45
138 55 796
213 641 6
829 784 726
751 278 850
481 117 696
9 493 699
834 583 554
891 256 723
720 852 121
666 812 835
523 236 55
20 243 303
334 202 215
324 938 414
690 455 330
271 46 381
37 1 336
718 448 18
351 385 875
853 188 860
319 521 240
