8719 25923
3238 563 816
3213 544 249
1516 3111 303
6993 8056 -31
7360 718 525
8373 1478 -645
7928 2207 -929
646 2031 114
976 2592 391
6695 6560 -321
7557 3377 -748
7086 6983 -467
7831 6085 -748
4612 6472 -317
5710 1359 209
7016 1721 -68
4830 4447 491
5395 222 -800
5802 662 -914
7241 119 -68
2085 3151 -353
2342 1810 -516
2320 963 552
4927 2360 102
2647 4288 344
4914 4719 -274
1269 6712 843
7071 5953 674
1793 2361 956
4539 4633 -853
6784 650 634
2367 4509 -235
3092 1055 -589
4200 8104 -655
7399 1643 659
6227 664 558
5572 1332 -828
6961 7397 -840
7185 3871 329
5008 7703 855
6029 7053 -401
2024 4762 -886
3357 8083 30
909 4479 -445
5234 4229 -133
181 6971 180
2836 8345 311
875 8024 -190
2426 1669 -708
5952 5661 113
7160 4210 -111
1998 4797 816
7843 4540 368
6796 6428 326
7624 4726 644
5700 468 -1000
602 414 450
7902 7299 -708
1069 8256 573
2697 8588 630
2206 8048 730
1286 6420 410
7270 5443 -802
7786 196 492
287 1413 620
5893 3800 209
5151 8345 636
501 1496 219
2637 4709 -385
2664 6622 -643
1517 242 152
711 5173 -617
436 3562 442
1022 2721 -29
3261 579 419
4048 4263 -415
6568 2931 -140
639 2900 493
1342 44 -391
3796 6979 547
2362 873 946
26 6597 360
6486 7567 965
8452 5222 -632
2124 7820 940
449 1669 -138
238 1998 87
6020 3297 -32
3879 7791 -582
1929 5338 17
1266 88 546
6970 7454 -614
6828 8356 -532
3640 5005 734
4033 4545 192
7044 3760 -861
6563 4114 -568
6473 1479 -492
5679 6436 -221
8641 7670 -921
2666 2901 -117
150 8583 -822
4819 7502 507
2409 7429 170
4114 3318 145
2416 6683 687
1577 423 -867
8673 5087 568
4845 6439 501
4806 7510 690
4249 6731 823
8440 7644 622
5286 4547 -423
5877 3999 685
4123 4048 -247
6888 7557 -464
5017 3221 -766
1374 812 -484
4648 6228 -948
7682 1225 -741
5039 654 999
3799 4843 46
1388 7737 -108
5300 4095 559
8371 3746 -602
4492 4342 118
6063 8123 590
4159 5331 497
5810 7867 -774
1418 5909 -550
8621 8370 -656
2290 6757 -132
6068 5018 -806
3035 7180 -814
6865 5918 127
6954 5690 -585
3189 1455 500
485 221 -815
3628 212 90
4328 1169 34
6250 3070 313
7663 7226 -362
7365 1899 -998
4492 5741 511
7969 7655 -650
3202 2379 163
1073 2543 -695
87 7575 305
829 4511 -446
6845 4012 908
2889 4209 -796
2741 5956 319
916 1670 682
2070 914 -261
5081 6689 -350
7454 4210 -440
1246 8087 -40
150 3776 154
5081 6892 -540
8136 2828 -294
3650 6995 -191
1008 6032 578
7012 2735 -64
7041 4003 22
4989 3655 433
558 7516 143
5973 3850 -997
1221 4973 252
3066 3216 -865
8540 5588 -332
2621 6435 387
3104 3877 -336
5902 4492 -692
132 4311 -494
2474 190 -6
4171 4780 846
4991 5619 933
6697 8050 682
5662 479 722
6961 8080 767
3675 2030 933
3224 5738 -584
2166 1744 721
6304 89 912
848 5307 -276
7936 6147 -433
4169 2438 584
4434 3550 501
567 438 667
7369 6658 886
3020 4162 937
5794 7914 826
5393 4615 645
4238 8449 -841
4321 838 -654
5429 4832 -318
1127 69 983
3894 6442 867
3655 5907 812
2760 5800 -349
7118 7359 347
8682 4067 -790
7213 2493 -428
6209 2111 105
7581 2252 -333
6107 6539 986
2098 3433 -476
1876 7301 942
2024 8356 -932
7064 4678 -744
8702 2375 -796
2732 6159 -445
3576 3730 746
1218 3107 -614
4389 6300 -456
7581 7007 38
8100 4596 826
1271 6933 -860
8584 3836 -252
4539 4053 70
6723 8465 139
3876 2382 914
2379 4310 -660
4956 1390 -90
2631 8551 198
3797 7256 -703
3967 117 529
5243 787 613
3871 2369 -679
2273 289 -53
4793 2590 214
1774 7061 230
5328 6045 -838
1373 4857 -330
8049 5997 -374
2299 7440 -271
7209 1366 -443
8094 5316 397
3779 612 -138
231 7692 -268
4781 2037 -334
4996 1243 -580
1615 2054 610
7277 500 -896
1097 5763 -297
1511 1602 -975
7946 135 -174
5870 6515 705
754 1376 181
6889 410 -589
1358 2347 413
6660 8184 -361
7537 4515 -881
4406 1034 -452
363 4400 974
7385 3986 -185
3004 1349 -340
7545 8460 -71
4796 5003 597
4410 642 -855
4973 1377 -764
6580 2201 -861
7283 5717 -589
3407 2203 -159
2148 6899 455
1649 4489 609
282 2261 -157
2468 1902 -593
8030 3103 172
4934 1604 866
6724 7545 -158
1784 3488 -642
2548 3093 -545
2470 2010 -199
3926 7059 127
7996 932 260
3911 8151 -215
4196 2325 -242
5848 6031 -294
7230 2813 453
6432 2947 -374
3090 7237 -51
2515 4409 689
2690 1800 346
1711 5892 -389
256 7473 -725
7237 6849 975
4414 6562 -313
4239 8518 811
3957 5361 422
495 8395 364
7394 5670 -257
975 2650 227
1947 8269 136
4654 8581 -955
7343 2901 176
5387 4961 857
8218 6700 -556
3013 8252 865
457 8428 523
2559 6176 -936
